date,store_id,customer_id,sales
2020-01-01,1,101,555.3194554576862
2020-01-01,2,606,561.8389424443358
2020-01-01,3,713,562.1981766141445
2020-01-01,4,652,532.919017859645
2020-01-01,5,293,541.63322345914
2020-01-01,6,304,522.9886441089153
2020-01-01,7,871,380.0488257534275
2020-01-01,8,303,551.013442974549
2020-01-01,9,496,516.967789030505
2020-01-01,10,236,476.75725444515047
2020-01-01,11,873,624.1073093169117
2020-01-01,12,31,530.7944811433366
2020-01-01,13,898,587.3324286426041
2020-01-01,14,459,481.6700129331539
2020-01-01,15,822,533.6188143564389
2020-01-01,16,621,571.9075247189807
2020-01-01,17,855,456.77447403903614
2020-01-01,18,728,599.0733794815017
2020-01-01,19,776,626.4755125176109
2020-01-01,20,28,598.6037382431615
2020-01-01,21,326,478.6352864279603
2020-01-01,22,488,648.5603771953578
2020-01-01,23,822,561.5375786885138
2020-01-01,24,252,541.1066273444937
2020-01-01,25,235,517.3531598731485
2020-01-01,26,118,540.2324256356624
2020-01-01,27,54,445.3691130020261
2020-01-01,28,53,557.1411043632385
2020-01-01,29,586,536.2840050795988
2020-01-01,30,921,490.33903752348925
2020-01-01,31,387,596.73878272264
2020-01-01,32,182,405.40670997359155
2020-01-01,33,884,548.8443772159363
2020-01-01,34,740,534.226550247504
2020-01-01,35,378,671.0744778299943
2020-01-01,36,852,562.97901289411
2020-01-01,37,119,592.9228789264746
2020-01-01,38,104,593.0911435424761
2020-01-01,39,604,535.7382925186215
2020-01-01,40,134,561.5340858517138
2020-01-01,41,391,556.1113777157192
2020-01-01,42,756,642.9412090897113
2020-01-01,43,825,609.3201501614801
2020-01-01,44,647,468.9132541064817
2020-01-01,45,228,560.4004998622245
2020-01-01,46,729,564.63719187451
2020-01-01,47,504,413.59022445308176
2020-01-01,48,644,493.82268205559365
2020-01-01,49,616,543.8047143910571
2020-01-01,50,79,451.40867133074994
2020-01-02,1,124,508.2973803910156
2020-01-02,2,602,547.529831385247
2020-01-02,3,104,551.2531892977577
